StudyID,TFL,Type,Status,Owner,PlannedDate,ActualDate
PROJ101,F001,Figure,Not Started,Maria,2025-05-20,
PROJ303,F002,Figure,Completed,John,2025-11-06,2025-11-15
PROJ202,F003,Figure,In Progress,Sarah,2025-07-18,
PROJ303,T004,Table,Completed,Chen,2025-11-02,2025-11-06
PROJ101,F005,Figure,On Hold,Chen,2025-11-02,
PROJ404,F006,Figure,Completed,John,2025-04-30,2025-05-29
PROJ303,T007,Table,Not Started,Sarah,2025-02-21,
PROJ404,L008,Listing,Completed,John,2025-01-22,2025-01-27
PROJ202,F009,Figure,In Progress,Alex,2025-03-09,
PROJ101,L010,Listing,Completed,Sarah,2025-05-17,2025-05-27
PROJ303,T011,Table,On Hold,Maria,2025-08-24,
PROJ505,F012,Figure,On Hold,Chen,2025-08-06,
PROJ101,L013,Listing,Not Started,John,2025-02-24,
PROJ202,T014,Table,Completed,John,2025-08-10,2025-08-28
PROJ505,T015,Table,In Progress,Sarah,2025-01-21,
PROJ505,F016,Figure,Not Started,John,2025-07-22,
PROJ505,F017,Figure,Not Started,John,2025-07-14,
PROJ101,T018,Table,Not Started,Alex,2025-01-25,
PROJ303,T019,Table,Completed,John,2025-01-12,2025-01-20
PROJ303,T020,Table,In Progress,Maria,2025-02-26,
PROJ404,L021,Listing,Not Started,John,2025-09-19,
PROJ202,T022,Table,Not Started,Maria,2025-09-26,
PROJ303,L023,Listing,On Hold,Chen,2025-03-19,
PROJ505,T024,Table,Not Started,John,2025-12-12,
PROJ505,T025,Table,Completed,Maria,2025-06-08,2025-06-15
PROJ404,L026,Listing,Not Started,Maria,2025-05-05,
PROJ202,F027,Figure,In Progress,Alex,2025-08-26,
PROJ505,F028,Figure,Not Started,Alex,2025-08-08,
PROJ202,F029,Figure,On Hold,Maria,2025-02-13,
PROJ303,T030,Table,Completed,Maria,2025-03-31,2025-04-02
PROJ101,L031,Listing,Completed,Alex,2025-03-04,2025-04-02
PROJ404,F032,Figure,On Hold,Maria,2025-05-04,
PROJ505,F033,Figure,On Hold,Maria,2025-11-23,
PROJ505,L034,Listing,Completed,Chen,2025-10-02,2025-10-15
PROJ505,L035,Listing,Completed,Sarah,2025-04-25,2025-05-25
PROJ101,T036,Table,On Hold,Alex,2025-07-26,
PROJ404,L037,Listing,In Progress,Chen,2025-11-01,
PROJ404,F038,Figure,On Hold,Maria,2025-11-09,
PROJ404,L039,Listing,Completed,Sarah,2025-12-19,2025-12-26
PROJ303,T040,Table,Not Started,Sarah,2025-04-24,
PROJ303,T041,Table,Not Started,Sarah,2025-03-04,
PROJ303,L042,Listing,Completed,Maria,2025-09-28,2025-10-14
PROJ303,F043,Figure,On Hold,John,2025-12-25,
PROJ101,T044,Table,On Hold,Chen,2025-10-15,
PROJ505,T045,Table,On Hold,Maria,2025-11-29,
PROJ404,T046,Table,In Progress,Chen,2025-02-14,
PROJ404,F047,Figure,Completed,John,2025-02-18,2025-02-22
PROJ101,F048,Figure,Completed,Alex,2025-04-12,2025-04-20
PROJ303,F049,Figure,On Hold,Alex,2025-03-06,
PROJ404,T050,Table,Not Started,John,2025-04-13,
PROJ303,L051,Listing,On Hold,Chen,2025-06-23,
PROJ505,L052,Listing,Not Started,Chen,2025-08-28,
PROJ101,T053,Table,In Progress,Chen,2025-12-11,
PROJ404,T054,Table,Not Started,Sarah,2025-02-11,
PROJ101,L055,Listing,Completed,Maria,2025-02-20,2025-03-05
PROJ202,T056,Table,In Progress,John,2025-04-03,
PROJ202,T057,Table,Not Started,Maria,2025-01-28,
PROJ202,F058,Figure,Completed,Sarah,2025-12-18,2026-01-04
PROJ202,F059,Figure,Completed,Sarah,2025-08-03,2025-08-29
PROJ505,T060,Table,On Hold,John,2025-03-05,
PROJ505,T061,Table,In Progress,Maria,2025-10-16,
PROJ404,L062,Listing,Not Started,Sarah,2025-01-03,
PROJ303,L063,Listing,In Progress,John,2025-08-30,
PROJ303,L064,Listing,In Progress,Maria,2025-06-23,
PROJ101,T065,Table,Not Started,Maria,2025-07-24,
PROJ101,T066,Table,On Hold,John,2025-01-15,
PROJ505,F067,Figure,Not Started,Sarah,2025-09-20,
PROJ202,T068,Table,Completed,Alex,2025-04-13,2025-05-13
PROJ404,T069,Table,Not Started,Chen,2025-11-25,
PROJ303,L070,Listing,On Hold,Chen,2025-11-20,
PROJ303,F071,Figure,Not Started,Sarah,2025-01-20,
PROJ404,L072,Listing,On Hold,Alex,2025-07-27,
PROJ404,F073,Figure,On Hold,Sarah,2025-05-20,
PROJ404,F074,Figure,Not Started,John,2025-09-09,
PROJ404,T075,Table,Not Started,Alex,2025-12-29,
PROJ505,T076,Table,Completed,John,2025-05-25,2025-06-14
PROJ101,L077,Listing,In Progress,Chen,2025-07-25,
PROJ303,F078,Figure,Completed,Chen,2025-11-07,2025-12-01
PROJ303,L079,Listing,On Hold,John,2025-05-12,
PROJ202,T080,Table,On Hold,Maria,2025-09-08,
PROJ101,L081,Listing,In Progress,Alex,2025-08-17,
PROJ303,T082,Table,On Hold,John,2025-06-20,
PROJ202,F083,Figure,In Progress,Chen,2025-02-19,
PROJ303,F084,Figure,Completed,Chen,2025-09-13,2025-10-10
PROJ505,T085,Table,Completed,Maria,2025-07-23,2025-08-16
PROJ202,L086,Listing,Completed,John,2025-09-22,2025-10-11
PROJ101,T087,Table,Completed,John,2025-03-07,2025-03-28
PROJ404,L088,Listing,On Hold,Sarah,2025-07-28,
PROJ505,F089,Figure,In Progress,Maria,2025-09-21,
PROJ101,F090,Figure,Completed,Sarah,2025-06-16,2025-06-25
PROJ303,F091,Figure,On Hold,Sarah,2025-07-28,
PROJ202,L092,Listing,On Hold,Maria,2025-02-27,
PROJ505,F093,Figure,On Hold,Chen,2025-11-06,
PROJ202,L094,Listing,In Progress,John,2025-08-05,
PROJ303,L095,Listing,Not Started,Alex,2025-04-30,
PROJ303,L096,Listing,Not Started,Maria,2025-11-15,
PROJ303,F097,Figure,Completed,Alex,2025-12-19,2026-01-01
PROJ505,F098,Figure,In Progress,Chen,2025-03-01,
PROJ404,T099,Table,Completed,Maria,2025-02-05,2025-02-10
PROJ404,F100,Figure,Completed,Alex,2025-02-27,2025-03-20
PROJ303,T101,Table,Not Started,Sarah,2025-10-23,
PROJ404,L102,Listing,Not Started,Maria,2025-04-07,
PROJ202,L103,Listing,Not Started,Maria,2025-08-13,
PROJ101,F104,Figure,In Progress,Alex,2025-08-01,
PROJ505,L105,Listing,Completed,Maria,2025-02-06,2025-02-14
PROJ202,T106,Table,Completed,Sarah,2025-04-21,2025-05-16
PROJ404,L107,Listing,In Progress,Chen,2025-04-11,
PROJ202,L108,Listing,Completed,John,2025-09-09,2025-09-18
PROJ505,T109,Table,Not Started,Chen,2025-02-20,
PROJ202,F110,Figure,Not Started,Alex,2025-11-27,
